Title,Body,Milestone,Labels,Assignee(role),Priority,Estimate(days),Phase,WorkPackage
[0] 프로젝트 셋업 + CI 기초 (Phase 0),"**Phase:** 0 · 프로젝트 셋업 + CI 기초  
**담당자:** PL (PL)  
**우선순위:** P0  ·  **예상 공수:** 14d  ·  **작업 수:** 14  ·  **일정:** W1–W2

### 작업 목록
- [ ] **0.1** Git 저장소 초기화 + .gitignore + README `XS` `P0` — 모노레포 Git 저장소 초기화. .gitignore(node_modules·.env·빌드 산출물·.expo), README에 서비스 개요·로컬 실행법·환경 구성 명시. 참고: CLAUDE.md(하네스 정의)
- [ ] **0.2** 기술 스택 확정 문서 작성 `S` `P0` — 프론트(Next.js App Router)·모바일(Expo RN)·백엔드(Supabase/bkend.ai)·DB(PostgreSQL+RLS) 스택 확정 및 근거 문서화. 참고: docs/02-data-specification.md, docs/03-erd.md, docs/10-tech-stack.md
- [ ] **0.3** Next.js (App Router) 프로젝트 부팅 `S` `P0` — apps/web 에 Next.js App Router 프로젝트 부팅(라우팅·서버컴포넌트 구조). 참고: docs/06-information-architecture.md §4 반응형 웹 IA
- [ ] **0.4** React Native (Expo) 프로젝트 부팅 `S` `P0` — apps/mobile 에 Expo 기반 RN 앱 부팅(네비게이션 스택·탭). 참고: docs/06-information-architecture.md §5 모바일 앱 IA
- [ ] **0.5** Supabase 프로젝트 생성 + 환경 변수 분리 `S` `P0` — Supabase 프로젝트 생성 후 dev/stg/prod 3환경 분리(.env.dev/.stg/.prod). 키·URL 환경변수화. 참고: docs/03-erd.md §RLS 정책 요약
- [ ] **0.6** bkend.ai BaaS 연동 (또는 Supabase 직접) `S` `P0` — bkend.ai BaaS(또는 Supabase 직접) 클라이언트 래퍼 구현 — 인증·DB·스토리지 SDK 초기화. 참고: docs/02-data-specification.md §1 테이블 목록, bkit:bkend-quickstart 스킬
- [ ] **0.7** TypeScript 컨벤션 + ESLint + Prettier `XS` `P0` — TypeScript strict + ESLint + Prettier 규칙 정립(AI 협업용 코딩 컨벤션). 참고: bkit:phase-2-convention 스킬
- [ ] **0.8** 폴더 구조 컨벤션 문서 `XS` `P0` — 도메인 기반 폴더 구조(features/·lib/·components/·app/) 컨벤션 문서화.
- [ ] **0.9** 모노레포 (pnpm workspaces) `S` `P1` — pnpm workspaces 로 web·mobile·shared(타입·API 클라이언트·검증 스키마) 패키지 공유 구성.
- [ ] **0.10** Vercel/Render 배포 환경 셋업 `S` `P1` — Vercel(웹)·EAS/Render(모바일·서버) 배포 환경 사전 셋업. 참고: §19 CI/CD
- [ ] **0.11** 에러 모니터링 (Sentry) 연동 `S` `P1` — Sentry 연동 — 웹·모바일·서버 런타임 에러 트래킹 및 소스맵 업로드.
- [ ] **0.12** i18n 셋업 (한국어 기본, 추후 영어) `S` `P2` — i18n 셋업(한국어 기본, 영어 차기 릴리스). 참고: docs/07-design-system.md §2 타이포그래피(Pretendard)
- [ ] **0.13** ✨ NEW Vitest + Playwright + pgTAP 테스트 환경 셋업 `M` `P0` — 단위(Vitest)·E2E(Playwright)·DB(pgTAP) 3계층 테스트 환경 셋업. 테스트 디렉터리 컨벤션·실행 스크립트·커버리지 리포트·CI 연동 준비. 이후 모든 Phase가 이 인프라 위에서 테스트를 작성한다.
- [ ] **0.14** ✨ NEW GitHub Actions 기본 파이프라인 (lint+type+test) `S` `P0` — PR마다 lint·typecheck·단위/통합 테스트를 실행하는 GitHub Actions 기본 파이프라인. Phase 19에서 PR 프리뷰·배포까지 확장한다.

> 원본: docs/08-wbs-v1.1.md · 프로젝트 셋업 + CI 기초 (Phase 0)",Phase 0 · 프로젝트 셋업,"phase:0,priority:P0,type:infra,role:PL",PL,P0,14,0,프로젝트 셋업 + CI 기초 (Phase 0)
[1.1] 마이그레이션 — 핵심 테이블,"**Phase:** 1 · DB 스키마 + RLS  
**담당자:** PL (PL)  
**우선순위:** P0  ·  **예상 공수:** 9d  ·  **작업 수:** 16  ·  **일정:** W2–W4

### 작업 목록
- [ ] **1.1.1** `users` 테이블 생성 `XS` `P0` — users 테이블 — 모든 역할(보호자·당사자·전문가)의 계정. role enum·email·phone·status. 참고: docs/02-data-specification.md §2 핵심 테이블 상세(users), docs/03-erd.md
- [ ] **1.1.2** `persons` 테이블 생성 `XS` `P0` — persons 테이블 — 기록의 주체인 당사자. birth_date·life_stage(생애주기)·emergency_info(JSONB). 참고: docs/02 §2(persons), §4 Enum(life_stage)
- [ ] **1.1.3** `guardian_persons` 연결 테이블 `XS` `P0` — guardian_persons — 보호자↔당사자 N:M 매핑, is_primary(주보호자)·relationship. 참고: docs/02 §2(guardian_persons), docs/03-erd.md §도메인별 서브 ERD
- [ ] **1.1.4** `person_accounts` 테이블 `XS` `P0` — person_accounts — 당사자 선택적 로그인 계정 + 접근성 설정(ui_mode·font_scale·contrast). 참고: docs/02 §2(person_accounts), docs/07 §9 당사자 접근성 모드
- [ ] **1.1.5** `permissions` 테이블 `XS` `P0` — permissions — 권한 매트릭스 핵심. domain·access_level·valid_from/until. 참고: docs/02 §2(permissions), §4 Enum(domain·access_level)
- [ ] **1.1.6** `permission_logs` 테이블 `XS` `P0` — permission_logs — 권한 부여/수정/회수 이력(감사 추적). 참고: docs/02 §2(permission_logs), docs/05-workflows-feature.md §2·§3
- [ ] **1.1.7** `records` 테이블 (JSONB content) `S` `P0` — records — 6도메인 기록 공통 테이블. domain·record_type·content(JSONB)·is_draft·is_milestone. 참고: docs/02 §2(records), §3 JSONB content 스키마
- [ ] **1.1.8** `self_expressions` 테이블 `XS` `P0` — self_expressions — 당사자 자기표현(날짜별 UNIQUE). mood·activities·content(JSONB). 참고: docs/02 §2(self_expressions), §3 JSONB
- [ ] **1.1.9** `record_files` 테이블 `XS` `P0` — record_files — 기록·자기표현 첨부 파일 메타. storage_path·is_sensitive·mime. 참고: docs/02 §2(record_files), docs/05 §5 파일 첨부
- [ ] **1.1.10** `life_milestones` 테이블 `XS` `P0` — life_milestones — 생애주기 이정표(진단·입학·졸업 등). category·event_date. 참고: docs/02 §2(life_milestones), docs/05 §6 타임라인
- [ ] **1.1.11** `handovers` 테이블 `XS` `P0` — handovers — 전문가 인수인계. domain·summary·linked_record_ids·is_confirmed. 참고: docs/02 §2(handovers), docs/05 §7 인수인계
- [ ] **1.1.12** `access_logs` 테이블 (INSERT-only) `XS` `P0` — access_logs — INSERT-only 접근 로그(불변). actor·action·target. 참고: docs/02 §2(access_logs), docs/03 §RLS 정책 요약
- [ ] **1.1.13** `notifications` 테이블 `XS` `P0` — notifications — 알림. type·payload(JSONB)·self_expression_id FK·is_read. 참고: docs/02 §2(notifications), §3 JSONB, docs/05 §8 알림
- [ ] **1.1.14** ✨ NEW `secure_identifiers` 테이블 (고유식별정보 암호화 저장) `XS` `P0` — secure_identifiers — 고유식별정보(장애 등록번호·증명서 문서번호)를 records.content 평문에서 분리해 암호화 저장(PIPA §24). person_id·identifier_type enum·encrypted_value(BYTEA)·value_masked·encryption_ref·deleted_at. 참고: docs/02 §2.14, docs/16 §3.2
- [ ] **1.1.15** ✨ NEW `consents` 테이블 (동의 이력) `XS` `P0` — consents — 필수/선택·민감·고유식별 별도 동의 이력(PIPA §22~24). consent_type enum·subject_user_id XOR person_id·is_required·granted·consented_by·on_behalf·legal_basis·policy_version·consented_at·revoked_at·deleted_at. 참고: docs/02 §2.15, docs/16 §2
- [ ] **1.1.16** ✨ NEW `deleted_at` 컬럼 + soft-delete 부분 인덱스 `S` `P0` — 사용자 대면 엔티티(persons·records·self_expressions·record_files·guardian_persons·person_accounts·secure_identifiers·consents)에 deleted_at TIMESTAMPTZ NULL 추가 + `WHERE deleted_at IS NULL` 부분 인덱스·부분 유니크 인덱스. append-only 로그(access_logs·permission_logs)는 제외. 참고: docs/02 §5 인덱스 전략·deleted_at, docs/16 §4.3

> 원본: docs/08-wbs-v1.1.md · 마이그레이션 — 핵심 테이블",Phase 1 · DB 스키마 + RLS,"phase:1,priority:P0,type:db,role:PL",PL,P0,9,1,마이그레이션 — 핵심 테이블
[1.2] RLS 정책,"**Phase:** 1 · DB 스키마 + RLS  
**담당자:** PL (PL)  
**우선순위:** P0  ·  **예상 공수:** 8d  ·  **작업 수:** 7  ·  **일정:** W2–W4

### 작업 목록
- [ ] **1.2.1** `records` SELECT RLS (보호자/당사자/권한자) `M` `P0` — records SELECT RLS — 보호자(매핑)·당사자 본인·권한자(permissions 유효기간 내)만 조회. 참고: docs/03 §RLS 정책 요약, docs/02 §6 제약조건
- [ ] **1.2.2** `records` INSERT/UPDATE RLS `S` `P0` — records INSERT/UPDATE RLS — 도메인·access_level(write 이상) 검증. 참고: docs/03 §RLS, docs/05 §4 기록 작성 공통
- [ ] **1.2.3** `self_expressions` 당사자 본인만 작성 `S` `P0` — self_expressions RLS — 당사자 본인 계정만 작성/수정(당일). 참고: docs/03 §RLS, docs/04-workflows-user.md §2 당사자
- [ ] **1.2.4** `access_logs` INSERT-only 정책 `XS` `P0` — access_logs INSERT-only 정책 — UPDATE/DELETE 차단으로 로그 불변성 보장. 참고: docs/03 §RLS, §17.2.8
- [ ] **1.2.5** `permissions` 보호자만 변경 가능 `S` `P0` — permissions 변경 RLS — 주보호자만 권한 부여/회수 가능. 참고: docs/03 §RLS, docs/05 §2 권한 부여
- [ ] **1.2.6** ✨ NEW soft-delete 가시성 RLS (`deleted_at IS NULL` 게이트) `S` `P0` — 사용자 대면 테이블 SELECT 정책 USING 절에 `deleted_at IS NULL`을 AND 결합해 파기 행을 권한자에게도 미노출. 기존 접근 주체 조건(보호자/본인/권한자)은 유지하고 가시성 게이트만 덧댐. 참고: docs/13 §4.2, docs/16 §4.3
- [ ] **1.2.7** ✨ NEW `secure_identifiers`/`consents` RLS + 복호화 통제 `S` `P0` — secure_identifiers는 records와 동일 주체 매핑으로 행 접근하되 SELECT는 value_masked만 노출(원문 비노출), encrypted_value 복호화는 service_role/Edge Function 권한 재검증 후에만. consents는 동의 주체 본인·법정대리인·주보호자 접근, 철회는 행 삭제가 아닌 granted=false 신규 행. 참고: docs/13 §3.5, docs/16 §3.2·§2

> 원본: docs/08-wbs-v1.1.md · RLS 정책",Phase 1 · DB 스키마 + RLS,"phase:1,priority:P0,type:db,role:PL",PL,P0,8,1,RLS 정책
[2] 인증 (Auth),"**Phase:** 2 · 인증 (Auth)  
**담당자:** 개발자 A (Dev-A)  
**우선순위:** P0  ·  **예상 공수:** 18.5d  ·  **작업 수:** 13  ·  **일정:** W4–W6

### 작업 목록
- [ ] **2.1** 이메일/비밀번호 회원가입 API `S` `P0` — 이메일/비밀번호 회원가입. role 선택 분기(보호자·당사자·전문가). users insert + 이메일 인증 트리거. 참고: docs/05 §1 회원가입 & 역할별 온보딩, wireframes/web/11-signup-role.svg
- [ ] **2.2** 이메일/비밀번호 로그인 API `S` `P0` — 이메일/비밀번호 로그인 + JWT 발급·세션. 참고: docs/04 §7 역할별 진입점 비교, wireframes/web/01-login.svg
- [ ] **2.3** 로그아웃 API `XS` `P0` — 로그아웃 — 세션/토큰 무효화. 참고: bkit:bkend-auth 스킬
- [ ] **2.4** 이메일 인증 발송 API `S` `P0` — 이메일 인증 메일 발송(토큰 생성·만료). 참고: docs/05 §1, wireframes/web/13-signup-verify.svg
- [ ] **2.5** 이메일 인증 확인 API `S` `P0` — 이메일 인증 토큰 확인 + users.status 활성화. 참고: docs/05 §1 온보딩, wireframes/web/13-signup-verify.svg
- [ ] **2.6** 비밀번호 재설정 요청 API `S` `P0` — 비밀번호 재설정 요청(재설정 토큰 메일). 참고: wireframes/web/15-reset-password.svg
- [ ] **2.7** 비밀번호 재설정 확인 API `S` `P0` — 비밀번호 재설정 확인 + 해시 갱신. 참고: wireframes/web/15-reset-password.svg
- [ ] **2.8** 초대 링크 생성 API `S` `P0` — 초대 링크 생성 — 보호자가 전문가/공동보호자 초대(토큰·도메인·만료). 참고: docs/05 §1 온보딩·§2 권한 부여
- [ ] **2.9** 초대 링크 수락 API (회원가입 분기) `M` `P0` — 초대 링크 수락 — 토큰 검증 후 신규 가입 또는 기존 계정 연결 분기 + 권한 자동 매핑. 참고: docs/05 §1, wireframes/web/14-invite-accept.svg
- [ ] **2.10** 카카오 소셜 로그인 OAuth `M` `P1` — 카카오 OAuth 소셜 로그인(P1). 참고: docs/04 §7 진입점, bkit:bkend-auth 스킬
- [ ] **2.11** 네이버 소셜 로그인 OAuth `M` `P1` — 네이버 OAuth 소셜 로그인(P1). 참고: docs/04 §7 진입점, bkit:bkend-auth 스킬
- [ ] **2.12** ✨ NEW 동의 수집 API (필수/선택·민감·고유식별 분리 INSERT) `M` `P0` — 동의 수집 — 회원가입·당사자 등록 시 유형별 분리 레코드 INSERT(PIPA §22⑤ 일괄동의 금지). consent_type별·필수/선택 분리, policy_version 기록, 철회는 granted=false 신규 행. docs/18 준수(에러봉투·Idempotency-Key). 참고: docs/05 §1-3 동의 수집 단계, docs/02 §2.15, docs/16 §2·§3
- [ ] **2.13** ✨ NEW 동의 주체 판정 (연령·후견 분기) `S` `P0` — 동의 주체 판정 — 당사자 정보 입력 시 성인 본인 / 만 14세 미만·피후견인 법정대리인 대리동의(on_behalf=true) / 만 14세 이상 미성년자 분기. legal_basis(친권자/성년후견인) 결정. 참고: docs/05 §1-3, docs/16 §2.2

> 원본: docs/08-wbs-v1.1.md · 인증 (Auth)",Phase 2 · 인증 (Auth),"phase:2,priority:P0,type:backend,role:Dev-A",개발자 A,P0,18.5,2,인증 (Auth)
[3.1] 사용자 (users),"**Phase:** 3 · 사용자·당사자·매핑  
**담당자:** 개발자 A (Dev-A)  
**우선순위:** P0  ·  **예상 공수:** 3.5d  ·  **작업 수:** 5  ·  **일정:** W5–W7

### 작업 목록
- [ ] **3.1.1** 사용자 프로필 단건 조회 `XS` `P0` — 사용자 본인/타 사용자 프로필 단건 조회(권한 범위 내). 참고: docs/02 §2(users)
- [ ] **3.1.2** 사용자 프로필 수정 `S` `P0` — 사용자 프로필 수정(이름·연락처·프로필 사진). 참고: wireframes/web/24-guardian-profile-edit.svg
- [ ] **3.1.3** 사용자 비활성화 (soft delete) `XS` `P0` — 사용자 soft delete(status=inactive) — 데이터 보존, 로그인 차단. 참고: docs/02 §4 Enum(user status)
- [ ] **3.1.4** 사용자 검색 (이메일·전화) `S` `P0` — 이메일·전화번호로 사용자 검색(초대·권한 부여 시). 참고: docs/05 §2 권한 부여 Step1
- [ ] **3.1.5** 역할 기반 사용자 필터 `XS` `P1` — 역할 기반 사용자 필터(전문가 유형별 등, P1).

> 원본: docs/08-wbs-v1.1.md · 사용자 (users)",Phase 3 · 사용자·당사자·매핑,"phase:3,priority:P0,type:backend,role:Dev-A",개발자 A,P0,3.5,3,사용자 (users)
[3.2] 당사자 (persons),"**Phase:** 3 · 사용자·당사자·매핑  
**담당자:** 개발자 A (Dev-A)  
**우선순위:** P0  ·  **예상 공수:** 14d  ·  **작업 수:** 10  ·  **일정:** W5–W7

### 작업 목록
- [ ] **3.2.1** 당사자 신규 등록 API `M` `P0` — 당사자 신규 등록 — 기본정보·생애주기·응급정보 입력 + guardian_persons 자동 연결. 참고: docs/02 §2(persons), docs/04 §1 보호자, wireframes/web/17-guardian-person-register.svg
- [ ] **3.2.2** 당사자 단건 조회 `S` `P0` — 당사자 상세 조회(프로필·요약). 참고: wireframes/web/16-guardian-person-profile.svg
- [ ] **3.2.3** 당사자 목록 조회 (보호자 기준) `S` `P0` — 보호자 기준 담당 당사자 목록(대시보드 진입점). 참고: docs/04 §1 보호자, wireframes/web/02-guardian-dashboard.svg
- [ ] **3.2.4** 당사자 기본정보 수정 `S` `P0` — 당사자 기본정보 수정. 참고: wireframes/web/25-guardian-person-edit.svg
- [ ] **3.2.5** 당사자 응급정보 수정 (별도 권한) `M` `P0` — 당사자 응급정보(혈액형·알레르기·복약·비상연락) 수정 — 추가 인증 필요. 참고: docs/02 §3 JSONB(emergency), §17.2.5, wireframes/web/26-guardian-emergency-edit.svg
- [ ] **3.2.6** 당사자 사진 업로드 `S` `P0` — 당사자 프로필 사진 업로드(presigned URL). 참고: docs/05 §5 파일 첨부
- [ ] **3.2.7** 당사자 사진 삭제 `XS` `P0` — 당사자 프로필 사진 삭제(storage+meta).
- [ ] **3.2.8** 당사자 비활성화 (이장) `S` `P1` — 당사자 비활성화/이장(archive) — 사망·이전 등(P1). 참고: docs/05 §10 당사자 전환기 처리
- [ ] **3.2.9** 당사자 생애주기 자동 계산 (트리거) `S` `P0` — birth_date 기반 life_stage 자동 계산 DB 트리거(영유아~노년 6단계). 참고: docs/01-record-matrix.md, docs/02 §4 Enum(life_stage)
- [ ] **3.2.10** ✨ NEW 성년 도달 본인 동의 재취득 `M` `P1` — 성년 전환기(19세) 후견 미개시 당사자의 본인 명의 동의 재취득(docs/05 §10 흐름). 기존 대리동의(on_behalf=true) 유지하되 본인 명의 신규 consents INSERT(subject_user_id=당사자 계정·on_behalf=false), person_accounts.user_id 연결. 참고: docs/05 §10, docs/16 §2.3

> 원본: docs/08-wbs-v1.1.md · 당사자 (persons)",Phase 3 · 사용자·당사자·매핑,"phase:3,priority:P0,type:backend,role:Dev-A",개발자 A,P0,14,3,당사자 (persons)
[3.3] 보호자-당사자 매핑 (guardian_persons),"**Phase:** 3 · 사용자·당사자·매핑  
**담당자:** 개발자 A (Dev-A)  
**우선순위:** P0  ·  **예상 공수:** 5d  ·  **작업 수:** 6  ·  **일정:** W5–W7

### 작업 목록
- [ ] **3.3.1** 보호자-당사자 연결 생성 `S` `P0` — 보호자-당사자 연결 생성(관계·주보호자 여부). 참고: docs/02 §2(guardian_persons)
- [ ] **3.3.2** 보호자-당사자 단건 조회 `XS` `P0` — 보호자-당사자 매핑 단건 조회.
- [ ] **3.3.3** 당사자별 보호자 목록 `S` `P0` — 당사자별 보호자 목록(공동 양육 지원). 참고: docs/03 §도메인별 서브 ERD
- [ ] **3.3.4** 주보호자 변경 `S` `P0` — 주보호자(is_primary) 변경 — 단일 주보호자 제약. 참고: docs/02 §6 제약조건
- [ ] **3.3.5** 관계(부/모/후견인) 수정 `XS` `P0` — 관계(부/모/후견인 등) 수정. 참고: docs/02 §4 Enum(relationship)
- [ ] **3.3.6** 보호자 연결 해제 `S` `P1` — 보호자 연결 해제(P1).

> 원본: docs/08-wbs-v1.1.md · 보호자-당사자 매핑 (guardian_persons)",Phase 3 · 사용자·당사자·매핑,"phase:3,priority:P0,type:backend,role:Dev-A",개발자 A,P0,5,3,보호자-당사자 매핑 (guardian_persons)
[3.4] 당사자 계정 (person_accounts),"**Phase:** 3 · 사용자·당사자·매핑  
**담당자:** 개발자 A (Dev-A)  
**우선순위:** P0  ·  **예상 공수:** 3d  ·  **작업 수:** 4  ·  **일정:** W5–W7

### 작업 목록
- [ ] **3.4.1** 당사자 계정 생성 (선택적) `S` `P0` — 당사자 선택적 로그인 계정 생성(자기표현·내 기록용). 참고: docs/02 §2(person_accounts), docs/04 §2 당사자
- [ ] **3.4.2** 접근성 설정 조회 `XS` `P0` — 당사자 접근성 설정 조회. 참고: wireframes/web/33-person-profile.svg
- [ ] **3.4.3** 접근성 설정 수정 `S` `P0` — 접근성 설정 수정(글씨 크기·고대비·TTS). 참고: docs/07 §9 당사자 접근성 모드, wireframes/web/32-person-accessibility.svg
- [ ] **3.4.4** UI 모드 (아이콘/혼합) 변경 `XS` `P0` — UI 모드(아이콘 전용/혼합) 전환. 참고: docs/07 §9, docs/06 §1 스크린 유형

> 원본: docs/08-wbs-v1.1.md · 당사자 계정 (person_accounts)",Phase 3 · 사용자·당사자·매핑,"phase:3,priority:P0,type:backend,role:Dev-A",개발자 A,P0,3,3,당사자 계정 (person_accounts)
[4.1] 권한 CRUD,"**Phase:** 4 · 권한 관리  
**담당자:** 개발자 A (Dev-A)  
**우선순위:** P0  ·  **예상 공수:** 12d  ·  **작업 수:** 8  ·  **일정:** W6–W8

### 작업 목록
- [ ] **4.1.1** 권한 부여 API (도메인·수준·기간) `M` `P0` — 권한 부여 — 권한자·도메인(멀티)·수준(read/write/edit, admin은 주보호자 전용·위임 불가)·기간 UPSERT. 참고: docs/02 §2(permissions)·§4 Enum(access_level), docs/05 §2 권한 부여
- [ ] **4.1.2** 권한 단건 조회 `XS` `P0` — 권한 단건 조회.
- [ ] **4.1.3** 당사자별 권한 매트릭스 조회 `M` `P0` — 당사자별 권한 매트릭스(이해관계자×도메인 그리드). 참고: docs/05 §2, wireframes/web/07-permission-matrix.svg
- [ ] **4.1.4** 사용자별 받은 권한 목록 `S` `P0` — 사용자(전문가)별 받은 권한 목록. 참고: wireframes/web/20-guardian-stakeholder-detail.svg
- [ ] **4.1.5** 권한 수정 (수준/기간 변경) `S` `P0` — 권한 수정(수준·기간 변경) + permission_logs 기록. 참고: wireframes/web/28-guardian-permission-modals.svg
- [ ] **4.1.6** 권한 회수 (즉시) `S` `P0` — 권한 즉시 회수 + 캐시 무효화 + 알림. 참고: docs/05 §3 권한 회수 프로세스, wireframes/web/28-guardian-permission-modals.svg
- [ ] **4.1.7** 기간 만료 자동 회수 (cron) `M` `P0` — valid_until 만료 권한 자동 회수 cron(scheduled fn). 참고: docs/05 §3 권한 회수
- [ ] **4.1.8** 만료 7일 전 알림 (cron) `S` `P1` — 권한 만료 7일 전 사전 알림 cron(P1). 참고: docs/05 §8 알림

> 원본: docs/08-wbs-v1.1.md · 권한 CRUD",Phase 4 · 권한 관리,"phase:4,priority:P0,type:backend,role:Dev-A",개발자 A,P0,12,4,권한 CRUD
[4.2] 권한 위자드 플로우 (4 step),"**Phase:** 4 · 권한 관리  
**담당자:** 개발자 A (Dev-A)  
**우선순위:** P0  ·  **예상 공수:** 5.5d  ·  **작업 수:** 4  ·  **일정:** W6–W8

### 작업 목록
- [ ] **4.2.1** Step1 — 대상자 검색·초대 `S` `P0` — 권한 위자드 Step1 — 대상자 검색 또는 이메일 초대. 참고: docs/06 §6 주요 플로우(권한 부여), wireframes/web/21-guardian-grant-wizard.svg
- [ ] **4.2.2** Step2 — 분야 선택 (멀티) `S` `P0` — Step2 — 6개 도메인 멀티 선택. 참고: wireframes/web/21-guardian-grant-wizard.svg
- [ ] **4.2.3** Step3 — 수준·기간 설정 `S` `P0` — Step3 — 도메인별 접근 수준·유효 기간 설정. 참고: wireframes/web/21-guardian-grant-wizard.svg
- [ ] **4.2.4** Step4 — 미리보기·UPSERT `M` `P0` — Step4 — 미리보기 후 permissions UPSERT + 알림 발송. 참고: docs/05 §2, wireframes/web/21-guardian-grant-wizard.svg

> 원본: docs/08-wbs-v1.1.md · 권한 위자드 플로우 (4 step)",Phase 4 · 권한 관리,"phase:4,priority:P0,type:backend,role:Dev-A",개발자 A,P0,5.5,4,권한 위자드 플로우 (4 step)
